"Year","City","Main Section","Sub-Section","Value"
1982,"Amsterdam","General: Domestic Purchasing Power","Gross (New York = 100)",94.0
1982,"Athens","General: Domestic Purchasing Power","Gross (New York = 100)",40.4
1982,"Brussels","General: Domestic Purchasing Power","Gross (New York = 100)",81.9
1982,"Chicago","General: Domestic Purchasing Power","Gross (New York = 100)",103.2
1982,"Copenhagen","General: Domestic Purchasing Power","Gross (New York = 100)",77.8
1982,"Dublin","General: Domestic Purchasing Power","Gross (New York = 100)",51.8
1982,"Düsseldorf","General: Domestic Purchasing Power","Gross (New York = 100)",92.2
1982,"Geneva","General: Domestic Purchasing Power","Gross (New York = 100)",104.7
1982,"Helsinki","General: Domestic Purchasing Power","Gross (New York = 100)",57.3
1982,"Istanbul","General: Domestic Purchasing Power","Gross (New York = 100)",33.1
1982,"Johannesburg","General: Domestic Purchasing Power","Gross (New York = 100)",70.2
1982,"Lisbon","General: Domestic Purchasing Power","Gross (New York = 100)",32.0
1982,"London","General: Domestic Purchasing Power","Gross (New York = 100)",61.9
1982,"Los Angeles","General: Domestic Purchasing Power","Gross (New York = 100)",110.8
1982,"Luxembourg","General: Domestic Purchasing Power","Gross (New York = 100)",106.5
1982,"Madrid","General: Domestic Purchasing Power","Gross (New York = 100)",57.9
1982,"Milan","General: Domestic Purchasing Power","Gross (New York = 100)",55.0
1982,"Montreal","General: Domestic Purchasing Power","Gross (New York = 100)",94.3
1982,"New York","General: Domestic Purchasing Power","Gross (New York = 100)",100.0
1982,"Oslo","General: Domestic Purchasing Power","Gross (New York = 100)",76.1
1982,"Paris","General: Domestic Purchasing Power","Gross (New York = 100)",71.4
1982,"San Francisco","General: Domestic Purchasing Power","Gross (New York = 100)",122.1
1982,"Stockholm","General: Domestic Purchasing Power","Gross (New York = 100)",77.0
1982,"Sydney","General: Domestic Purchasing Power","Gross (New York = 100)",86.8
1982,"Tokyo","General: Domestic Purchasing Power","Gross (New York = 100)",55.8
1982,"Toronto","General: Domestic Purchasing Power","Gross (New York = 100)",91.4
1982,"Vienna","General: Domestic Purchasing Power","Gross (New York = 100)",76.3
1982,"Zurich","General: Domestic Purchasing Power","Gross (New York = 100)",101.7
1985,"Amsterdam","General: Domestic Purchasing Power","Gross (New York = 100)",112.9
1985,"Amsterdam","General: Domestic Purchasing Power","Net (New York = 100)",109.2
1985,"Athens","General: Domestic Purchasing Power","Gross (New York = 100)",54.1
1985,"Athens","General: Domestic Purchasing Power","Net (New York = 100)",63.2
1985,"Brussels","General: Domestic Purchasing Power","Gross (New York = 100)",91.8
1985,"Brussels","General: Domestic Purchasing Power","Net (New York = 100)",92.1
1985,"Chicago","General: Domestic Purchasing Power","Gross (New York = 100)",109.4
1985,"Chicago","General: Domestic Purchasing Power","Net (New York = 100)",119.7
1985,"Copenhagen","General: Domestic Purchasing Power","Gross (New York = 100)",105.9
1985,"Copenhagen","General: Domestic Purchasing Power","Net (New York = 100)",80.3
1985,"Dublin","General: Domestic Purchasing Power","Gross (New York = 100)",65.9
1985,"Dublin","General: Domestic Purchasing Power","Net (New York = 100)",68.4
1985,"Düsseldorf","General: Domestic Purchasing Power","Gross (New York = 100)",102.4
1985,"Düsseldorf","General: Domestic Purchasing Power","Net (New York = 100)",97.4
1985,"Geneva","General: Domestic Purchasing Power","Gross (New York = 100)",125.9
1985,"Geneva","General: Domestic Purchasing Power","Net (New York = 100)",130.3
1985,"Helsinki","General: Domestic Purchasing Power","Gross (New York = 100)",67.1
1985,"Helsinki","General: Domestic Purchasing Power","Net (New York = 100)",57.9
1985,"Houston","General: Domestic Purchasing Power","Gross (New York = 100)",100.0
1985,"Houston","General: Domestic Purchasing Power","Net (New York = 100)",117.1
1985,"Lisbon","General: Domestic Purchasing Power","Gross (New York = 100)",32.9
1985,"Lisbon","General: Domestic Purchasing Power","Net (New York = 100)",36.8
1985,"London","General: Domestic Purchasing Power","Gross (New York = 100)",72.9
1985,"London","General: Domestic Purchasing Power","Net (New York = 100)",73.7
1985,"Los Angeles","General: Domestic Purchasing Power","Gross (New York = 100)",122.4
1985,"Los Angeles","General: Domestic Purchasing Power","Net (New York = 100)",128.9
1985,"Luxembourg","General: Domestic Purchasing Power","Gross (New York = 100)",117.6
1985,"Luxembourg","General: Domestic Purchasing Power","Net (New York = 100)",123.7
1985,"Madrid","General: Domestic Purchasing Power","Gross (New York = 100)",55.3
1985,"Madrid","General: Domestic Purchasing Power","Net (New York = 100)",60.5
1985,"Milan","General: Domestic Purchasing Power","Gross (New York = 100)",74.1
1985,"Milan","General: Domestic Purchasing Power","Net (New York = 100)",80.3
1985,"Montreal","General: Domestic Purchasing Power","Gross (New York = 100)",112.9
1985,"Montreal","General: Domestic Purchasing Power","Net (New York = 100)",114.5
1985,"New York","General: Domestic Purchasing Power","Gross (New York = 100)",100.0
1985,"New York","General: Domestic Purchasing Power","Net (New York = 100)",100.0
1985,"Oslo","General: Domestic Purchasing Power","Gross (New York = 100)",81.2
1985,"Oslo","General: Domestic Purchasing Power","Net (New York = 100)",78.9
1985,"Paris","General: Domestic Purchasing Power","Gross (New York = 100)",81.2
1985,"Paris","General: Domestic Purchasing Power","Net (New York = 100)",89.5
1985,"Stockholm","General: Domestic Purchasing Power","Gross (New York = 100)",72.9
1985,"Stockholm","General: Domestic Purchasing Power","Net (New York = 100)",68.4
1985,"Sydney","General: Domestic Purchasing Power","Gross (New York = 100)",98.8
1985,"Sydney","General: Domestic Purchasing Power","Net (New York = 100)",98.7
1985,"Tokyo","General: Domestic Purchasing Power","Gross (New York = 100)",63.5
1985,"Tokyo","General: Domestic Purchasing Power","Net (New York = 100)",75.0
1985,"Toronto","General: Domestic Purchasing Power","Gross (New York = 100)",107.1
1985,"Toronto","General: Domestic Purchasing Power","Net (New York = 100)",115.8
1985,"Vienna","General: Domestic Purchasing Power","Gross (New York = 100)",82.4
1985,"Vienna","General: Domestic Purchasing Power","Net (New York = 100)",85.5
1985,"Zurich","General: Domestic Purchasing Power","Gross (New York = 100)",117.6
1985,"Zurich","General: Domestic Purchasing Power","Net (New York = 100)",131.6
1988,"Abu Dhabi","General: Domestic Purchasing Power","Gross (New York = 100)",27.2
1988,"Abu Dhabi","General: Domestic Purchasing Power","Net (New York = 100)",39.0
1988,"Amsterdam","General: Domestic Purchasing Power","Gross (New York = 100)",103.6
1988,"Amsterdam","General: Domestic Purchasing Power","Net (New York = 100)",94.7
1988,"Athens","General: Domestic Purchasing Power","Gross (New York = 100)","N/A"
1988,"Athens","General: Domestic Purchasing Power","Net (New York = 100)","N/A"
1988,"Bangkok","General: Domestic Purchasing Power","Gross (New York = 100)",17.1
1988,"Bangkok","General: Domestic Purchasing Power","Net (New York = 100)",23.8
1988,"Bogotá","General: Domestic Purchasing Power","Gross (New York = 100)",24.1
1988,"Bogotá","General: Domestic Purchasing Power","Net (New York = 100)",32.3
1988,"Brussels","General: Domestic Purchasing Power","Gross (New York = 100)",108.5
1988,"Brussels","General: Domestic Purchasing Power","Net (New York = 100)",104.3
1988,"Buenos Aires","General: Domestic Purchasing Power","Gross (New York = 100)",24.2
1988,"Buenos Aires","General: Domestic Purchasing Power","Net (New York = 100)",29.1
1988,"Cairo","General: Domestic Purchasing Power","Gross (New York = 100)",7.1
1988,"Cairo","General: Domestic Purchasing Power","Net (New York = 100)",8.9
1988,"Caracas","General: Domestic Purchasing Power","Gross (New York = 100)",32.2
1988,"Caracas","General: Domestic Purchasing Power","Net (New York = 100)",44.9
1988,"Chicago","General: Domestic Purchasing Power","Gross (New York = 100)",96.7
1988,"Chicago","General: Domestic Purchasing Power","Net (New York = 100)",100.9
1988,"Copenhagen","General: Domestic Purchasing Power","Gross (New York = 100)",97.3
1988,"Copenhagen","General: Domestic Purchasing Power","Net (New York = 100)",81.2
1988,"Dublin","General: Domestic Purchasing Power","Gross (New York = 100)",61.6
1988,"Dublin","General: Domestic Purchasing Power","Net (New York = 100)",62.1
1988,"Düsseldorf","General: Domestic Purchasing Power","Gross (New York = 100)",99.9
1988,"Düsseldorf","General: Domestic Purchasing Power","Net (New York = 100)",95.3
1988,"Frankfurt","General: Domestic Purchasing Power","Gross (New York = 100)",112.4
1988,"Frankfurt","General: Domestic Purchasing Power","Net (New York = 100)",104.3
1988,"Geneva","General: Domestic Purchasing Power","Gross (New York = 100)",107.8
1988,"Geneva","General: Domestic Purchasing Power","Net (New York = 100)",119.3
1988,"Helsinki","General: Domestic Purchasing Power","Gross (New York = 100)",61.6
1988,"Helsinki","General: Domestic Purchasing Power","Net (New York = 100)",62.3
1988,"Hong Kong","General: Domestic Purchasing Power","Gross (New York = 100)",40.0
1988,"Hong Kong","General: Domestic Purchasing Power","Net (New York = 100)",54.9
1988,"Houston","General: Domestic Purchasing Power","Gross (New York = 100)",103.9
1988,"Houston","General: Domestic Purchasing Power","Net (New York = 100)",118.9
1988,"Istanbul","General: Domestic Purchasing Power","Gross (New York = 100)",31.9
1988,"Istanbul","General: Domestic Purchasing Power","Net (New York = 100)",31.2
1988,"Jakarta","General: Domestic Purchasing Power","Gross (New York = 100)",11.3
1988,"Jakarta","General: Domestic Purchasing Power","Net (New York = 100)",16.2
1988,"Jeddah","General: Domestic Purchasing Power","Gross (New York = 100)",38.0
1988,"Jeddah","General: Domestic Purchasing Power","Net (New York = 100)",54.4
1988,"Johannesburg","General: Domestic Purchasing Power","Gross (New York = 100)",60.1
1988,"Johannesburg","General: Domestic Purchasing Power","Net (New York = 100)",68.8
1988,"Kuala Lumpur","General: Domestic Purchasing Power","Gross (New York = 100)",20.8
1988,"Kuala Lumpur","General: Domestic Purchasing Power","Net (New York = 100)",28.1
1988,"Lagos","General: Domestic Purchasing Power","Gross (New York = 100)",6.7
1988,"Lagos","General: Domestic Purchasing Power","Net (New York = 100)",8.9
1988,"Lisbon","General: Domestic Purchasing Power","Gross (New York = 100)",28.2
1988,"Lisbon","General: Domestic Purchasing Power","Net (New York = 100)",33.5
1988,"London","General: Domestic Purchasing Power","Gross (New York = 100)",84.9
1988,"London","General: Domestic Purchasing Power","Net (New York = 100)",88.3
1988,"Los Angeles","General: Domestic Purchasing Power","Gross (New York = 100)",142.1
1988,"Los Angeles","General: Domestic Purchasing Power","Net (New York = 100)",158.7
1988,"Luxembourg","General: Domestic Purchasing Power","Gross (New York = 100)",104.9
1988,"Luxembourg","General: Domestic Purchasing Power","Net (New York = 100)",117.8
1988,"Madrid","General: Domestic Purchasing Power","Gross (New York = 100)",43.8
1988,"Madrid","General: Domestic Purchasing Power","Net (New York = 100)",53.2
1988,"Manama","General: Domestic Purchasing Power","Gross (New York = 100)",50.1
1988,"Manama","General: Domestic Purchasing Power","Net (New York = 100)",66.7
1988,"Manila","General: Domestic Purchasing Power","Gross (New York = 100)",8.9
1988,"Manila","General: Domestic Purchasing Power","Net (New York = 100)",11.9
1988,"Mexico City","General: Domestic Purchasing Power","Gross (New York = 100)",11.9
1988,"Mexico City","General: Domestic Purchasing Power","Net (New York = 100)",16.2
1988,"Milan","General: Domestic Purchasing Power","Gross (New York = 100)",81.8
1988,"Milan","General: Domestic Purchasing Power","Net (New York = 100)",86.2
1988,"Montreal","General: Domestic Purchasing Power","Gross (New York = 100)",112.1
1988,"Montreal","General: Domestic Purchasing Power","Net (New York = 100)",115.5
1988,"Mumbai","General: Domestic Purchasing Power","Gross (New York = 100)",11.3
1988,"Mumbai","General: Domestic Purchasing Power","Net (New York = 100)",15.7
1988,"Nairobi","General: Domestic Purchasing Power","Gross (New York = 100)",14.0
1988,"Nairobi","General: Domestic Purchasing Power","Net (New York = 100)",17.0
1988,"New York","General: Domestic Purchasing Power","Gross (New York = 100)",100.0
1988,"New York","General: Domestic Purchasing Power","Net (New York = 100)",100.0
1988,"Nicosia","General: Domestic Purchasing Power","Gross (New York = 100)",54.7
1988,"Nicosia","General: Domestic Purchasing Power","Net (New York = 100)",66.5
1988,"Oslo","General: Domestic Purchasing Power","Gross (New York = 100)",76.1
1988,"Oslo","General: Domestic Purchasing Power","Net (New York = 100)",52.4
1988,"Panama","General: Domestic Purchasing Power","Gross (New York = 100)",34.0
1988,"Panama","General: Domestic Purchasing Power","Net (New York = 100)",42.8
1988,"Paris","General: Domestic Purchasing Power","Gross (New York = 100)",67.8
1988,"Paris","General: Domestic Purchasing Power","Net (New York = 100)",76.7
1988,"Rio de Janeiro","General: Domestic Purchasing Power","Gross (New York = 100)",19.1
1988,"Rio de Janeiro","General: Domestic Purchasing Power","Net (New York = 100)",24.3
1988,"São Paulo","General: Domestic Purchasing Power","Gross (New York = 100)",20.7
1988,"São Paulo","General: Domestic Purchasing Power","Net (New York = 100)",23.5
1988,"Seoul","General: Domestic Purchasing Power","Gross (New York = 100)",32.4
1988,"Seoul","General: Domestic Purchasing Power","Net (New York = 100)",42.0
1988,"Stockholm","General: Domestic Purchasing Power","Gross (New York = 100)",72.9
1988,"Stockholm","General: Domestic Purchasing Power","Net (New York = 100)",69.2
1988,"Sydney","General: Domestic Purchasing Power","Gross (New York = 100)",82.1
1988,"Sydney","General: Domestic Purchasing Power","Net (New York = 100)",89.3
1988,"Tel Aviv","General: Domestic Purchasing Power","Gross (New York = 100)",44.1
1988,"Tel Aviv","General: Domestic Purchasing Power","Net (New York = 100)",46.6
1988,"Tokyo","General: Domestic Purchasing Power","Gross (New York = 100)",49.9
1988,"Tokyo","General: Domestic Purchasing Power","Net (New York = 100)",59.6
1988,"Toronto","General: Domestic Purchasing Power","Gross (New York = 100)",104.2
1988,"Toronto","General: Domestic Purchasing Power","Net (New York = 100)",108.4
1988,"Vienna","General: Domestic Purchasing Power","Gross (New York = 100)",85.4
1988,"Vienna","General: Domestic Purchasing Power","Net (New York = 100)",87.3
1988,"Zurich","General: Domestic Purchasing Power","Gross (New York = 100)",117.6
1988,"Zurich","General: Domestic Purchasing Power","Net (New York = 100)",135.0
